division,adress,cctv,lat,long,cctvCnt,date
강서구,C251102_화곡1동 920-11(고정1) - 신성월드오피스텔 방향,방범,37.5298943,126.842134,1,2021-01-29
강서구,C251100_화곡1동 924-21(고정4) - 곰달래로 방향,방범,37.5299299,126.841337,1,2021-01-29
강서구,C251100_화곡1동 924-21(고정2) - 삼성빌라 방향,방범,37.52992991,126.8413374,1,2021-01-29
강서구,C281036_화곡4동 842-11(고정3) 세븐일레븐 편의점(곰달래로 50길 19) 방향,방범,37.53000214,126.8583257,1,2021-01-29
강서구,C281036_화곡4동 842-11(고정2) 국회대로 방향,방범,37.53000668,126.8583313,1,2021-01-29
강서구,C281036_화곡4동 842-11(고정1) 삼성 아파트 방향,방범,37.53001119,126.8583312,1,2021-01-29
강서구,C281041_화곡4동 842-33(고정3) 곰달래 아파트 방향,방범,37.53002184,126.8588405,1,2021-01-29
강서구,C281041_화곡4동 842-33(고정1) 국회대로 7길 38-4 형제빌라 방향,방범,37.53003868,126.858829,1,2021-01-29
강서구,C281041_화곡4동 842-33(고정2) 우영 아파트 방향,방범,37.53004993,126.8588261,1,2021-01-29
강서구,C251062_화곡1동 918-24(고정1) 해태드림타운방향,방범,37.53006695,126.8450917,1,2021-01-29
강서구,C251062_화곡1동 918-24(고정2) 강서뉴아파트방향,방범,37.53006695,126.8450917,1,2021-01-29
강서구,C261011(A3002)_화곡2동 852-20,방범,37.530098,126.85512,1,2021-01-29
강서구,C261011(A3002)_화곡2동 852-20(보조1) 하마터어린이공원 방향,방범,37.530098,126.85512,1,2021-01-29
강서구,C261040_화곡2동 882-25(고정2),방범,37.5301125,126.851547,1,2021-01-29
강서구,C261040_화곡2동 882-25(고정1),방범,37.5301126,126.8515471,1,2021-01-29
강서구,C261034_화곡2동 882-25(고정2) 삼익아파트 방향,방범,37.53016314,126.8514968,1,2021-01-29
강서구,C261034_화곡2동 882-25(고정1) 곰달래로 방향,방범,37.5301699,126.8514967,1,2021-01-29
강서구,C281004(A1100)_화곡4동 790-6,방범,37.53017018,126.8593938,1,2021-01-29
강서구,C281009_화곡4동 785-11,방범,37.53024,126.86202,1,2021-01-29
강서구,C281009_화곡4동 785-11(보조1) 흥영그레이스 아파트 방향,방범,37.53024,126.86202,1,2021-01-29
강서구,C301011(A1133)_화곡8동 895-1,방범,37.53035,126.85042,1,2021-01-29
강서구,C301011(A1133)_화곡8동895-1(보조1) 강서로 대로 방향,방범,37.53035,126.85042,1,2021-01-29
강서구,C261042_화곡2동 841-24(고정2),방범,37.53045,126.858157,1,2021-01-29
강서구,C261042_화곡2동 841-24(고정1),방범,37.53045009,126.8581572,1,2021-01-29
강서구,C261015(A8017)_화곡2동 856-1,방범,37.530457,126.85372,1,2021-01-29
강서구,C251023(A3037)_화곡1동 357-14(분기-고정1) 곰달래로15가길 1방향,방범,37.53045976,126.8388539,1,2021-01-29
강서구,C251040(A6042)_화곡1동 424-86,방범,37.530632,126.840546,1,2021-01-29
강서구,C261025_화곡2동 875-8(고정2) 강서로 대로 방향,방범,37.53064214,126.852964,1,2021-01-29
강서구,C261025_화곡2동 875-8(고정1) 소망빌라 강서로10길 108 방향,방범,37.53064885,126.8529554,1,2021-01-29
강서구,C251019(A2045)_화곡1동 426-5,방범,37.530674,126.8425,1,2021-01-29
강서구,C251019(A2045)_화곡1동 426-5(보조1) 곰달래로19나길 21방향,방범,37.530674,126.8425,1,2021-01-29
강서구,C281018_화곡4동 789-5,방범,37.530716,126.86097,1,2021-01-29
강서구,C251090_화곡1동 343-61(고정2) 화곡고가 사거리 방향,방범,37.53074554,126.8471853,1,2021-01-29
강서구,C251041[경찰방범]_화곡1동 343-41,방범,37.53075448,126.8459568,1,2021-01-29
강서구,C251090_화곡1동 343-61(고정1) 화곡터널 방향,방범,37.53075455,126.8471852,1,2021-01-29
강서구,C261003(A1079)_화곡2동 847-14,방범,37.530773,126.856544,1,2021-01-29
강서구,C261003(A1079)_화곡2동 847-14 (보조1) 곰달래로 방향,방범,37.530773,126.856544,1,2021-01-29
강서구,C251023(A3037)_화곡1동 357-7,방범,37.530804,126.838486,1,2021-01-29
강서구,C251023(A3037)_화곡1동 357-7(보조1) 배다리어린이집방향,방범,37.530804,126.838486,1,2021-01-29
강서구,C251001(A1073)_화곡1동 343-19,방범,37.53091158,126.8454295,1,2021-01-29
강서구,C251001(A1073)_화곡1동343-19(보조1) 곰달래로19나길 40방향,방범,37.530922,126.84543,1,2021-01-29
강서구,C281047_화곡4동 788-28(고정2) - 곰달래로 방향,방범,37.5310148,126.860887,1,2021-01-29
강서구,C281047_화곡4동 788-28(고정1) - 곰달래로56길 8 방향,방범,37.53101483,126.8608876,1,2021-01-29
강서구,C301005(A1127)_화곡8동 391-52,방범,37.53112355,126.8499436,1,2021-01-29
강서구,C251007(A2033)화곡1동343-64,방범,37.5311618,126.846448,1,2021-01-29
강서구,C281005(A1101)_화곡4동 794-27,방범,37.531178,126.8603,1,2021-01-29
강서구,C281005(A1101)_화곡4동 794-27(보조1) 두레어린이공원 방향,방범,37.531178,126.8603,1,2021-01-29
강서구,C281016(A8019)_화곡4동 848-2(보조1) 국회대로 곰달래아파트 방향,방범,37.53127114,126.8579753,1,2021-01-29
강서구,C281043_화곡4동 787-22(고정2) - 홍영그레이스 아파트 방향,방범,37.5312746,126.861395,1,2021-01-29
강서구,C281043_화곡4동 787-22(고정3) - 달빛공원 방향,방범,37.5312746,126.861395,1,2021-01-29
강서구,C281043_화곡4동 787-22(고정1) - 두레 어린이공원 방향,방범,37.53127468,126.8613951,1,2021-01-29
강서구,C281016(A8019)_화곡4동 848-2,방범,37.53127978,126.8579405,1,2021-01-29
강서구,C251043(A7009)[경찰방범]_화곡1동 355-12,방범,37.531303,126.83867,1,2021-01-29
강서구,C281015_화곡4동 783-23,방범,37.531307,126.8625,1,2021-01-29
강서구,C301019(A8022)_화곡8동 342-68,방범,37.53135,126.848526,1,2021-01-29
강서구,C281042_화곡4동 784-25(고정2) - 달빛공원 방향,방범,37.5313542,126.861932,1,2021-01-29
강서구,C281042_화곡4동 784-25(고정1) - 두레어린이공원 방향,방범,37.53135429,126.8619327,1,2021-01-29
강서구,C251113_화곡1동 424-80(고정2),방범,37.5314172,126.840519,1,2021-01-29
